Index,Degree,Technical Skills,Soft Skills,Language,Experience Requirement,Experience Years Requirement
206,Bachelor?€?s,None,"Able to read, analyze and interpret technical literature, schematics and technical drawings",None,"Demonstrated competency to perform operational verification procedures, preventive maintenance and repair service on various equipment",None
207,Bachelor?€?s,"Javascript/TypeScript, HTML, CSS, React, RxJS",None,None,"Experience with Javascript/TypeScript, HTML, CSS, Experience with React and RxJS or some other UI Framework",None
208,Bachelor?€?s,None,"Strong interpersonal and communication skills, Detail-oriented with strong writing and organization skills",None,None,None
209,Bachelor?€?s,None,None,None,None,None
210,Bachelor?€?s,"Microsoft Office (Excel, Word, PowerPoint, Outlook)",Excellent written and verbal communication skills,English,None,None
211,Bachelor?€?s or Master?€?s,Microsoft Excel,"Strong analytical skills, Strong attention to detail, Effective communication skills",None,None,None
212,Bachelor?€?s or Master?€?s,"SQL, Python",Strong analytical and problem-solving skills,None,None,None
213,"High school diploma or equivalent, Bachelor?€?s","3D modeling, MS Office",None,None,None,None
214,Bachelor?€?s or Master?€?s,"Social media platforms, digital marketing tools, graphic design and video editing software",Excellent written and verbal communication skills,None,None,None
215,Bachelor?€?s,None,"Strong organizational, analytical and problem solving skills, Ability to work effectively under pressure",None,Previous internship experience a plus,None
216,"High School Diploma or equivalent, Bachelor?€?s or Master?€?s","Microsoft Word, Excel, CAD software (AutoCAD, Microstation, Revit, Sketch Up)",Strong verbal and written communication skills,None,None,None
217,Bachelor?€?s,None,None,None,Basic lab experience,None
218,None,None,None,None,None,None
219,Bachelor?€?s,None,"Excellent analytical problem-solving abilities, Strong communication and collaboration skills",None,None,None
220,High School Diploma/GED or equivalent,Microsoft Office Suite,None,None,None,None
221,None,None,None,None,None,None
222,Bachelor?€?s and/or Master?€?s,"MS Office applications (Excel, PowerPoint, Word, Outlook), AI, Alteryx, Power BI","Demonstrated quality service mindset, strong technical aptitude, critical thinking skills",Bilingual in English and Korean,None,None
223,Bachelor?€?s or greater,CAD,"Motivation and willingness to learn, Ability to take ownership of a project",None,Experience modeling solids and surfaces in CAD,None
224,Bachelor?€?s,"Java, Python, C++, Git",Strong problem-solving skills,None,Experience with version control systems like Git,None
225,Bachelor?€?s,SQL,"Hard-working, self-starter, effective phone skills, attention to detail",None,Coursework in SQL or experience selling information management tools,None
226,Bachelor?€?s or Master?€?s,"Microsoft Office tools (PowerPoint, Excel, Word)","Creative mindset, energetic, customer-centric attitude",None,None,None
227,High School Education/GED or equivalent,None,None,None,None,None
228,"Bachelor?€?s or Master?€?s, Associate?€?s",None,None,None,Four years relevant experience,4
229,Bachelor?€?s,Computer-assisted translation tools,Strong written and oral communication skills,"French, English",None,None
230,None,None,"Leadership skills, Effective communication skills, Ability to work independently and as part of a team",None,Previous retail experience preferred,None
231,Bachelor?€?s,Google and Microsoft products,"Strong written and verbal communication skills, Ability to maintain confidential information",None,Previous clerical or administrative experience,None
232,"Bachelor?€?s, MS, or PhD","C++, Java, C#, MATLAB, R, Python, Perl","Strong analytical and quantitative skills, Detail-oriented",None,Interest in financial markets and systematic trading,None
233,Bachelor?€?s,"SQL, C#, .NET",None,None,At least one data science course completed,None
234,None,"Excel, PowerPoint","Exemplary written and oral communication skills, Detail oriented and collaborative",None,None,None
235,None,None,Able to work independently and as part of a team,None,Minimum two (2) years?€? experience in general / military aircraft maintenance,2
236,Master?€?s or PhD,None,Clear communication skills,None,1-2 years of experience with applied Deep Learning,02-Jan
237,None,Microsoft Office Suite (Excel),"Strong time-management skills, Strong interpersonal and communication skills",None,None,None
238,Bachelor?€?s,Discord moderation and content creation tools,"Excellent communication skills, passion for fostering digital communities",None,Experience with Discord moderation and content creation tools is a plus,None
239,None,None,None,None,None,None
240,Bachelor?€?s or Master?€?s,None,"Advanced verbal and written communication skills, Ability to apply critical thinking skills and innovation",None,None,None
241,None,"Microsoft Excel, SQL, Python","Good communication skills, Attention to detail",None,None,None
242,None,"Canva, PowerPoint","Attentiveness to detail, Strong team orientation, Excellent verbal and written communication skills",None,"Experience working in a fast-paced, deadline-driven environment",None
243,"Bachelor?€?s, Master?€?s","Spreadsheets, word processing, database, artificial intelligence","Ability to communicate effectively, Good organizational skills, Good writing skills",None,None,None
244,"Undergraduate, Graduate",None,None,None,None,None
245,None,"SQL, Data Modeling tools, AI platforms, Python, Java",None,None,None,None
246,Bachelor?€?s,Microsoft Excel,"Strong analytical skills, Ability to thrive in a fast-paced environment, Proactive team player",None,None,None
247,Bachelor?€?s,None,"Demonstrated technical understanding, Self-starter, Ability to develop technical skills",None,None,None
248,Bachelor?€?s,None,None,None,None,None
249,Bachelor?€?s,"Microsoft Office suite, Excel, PowerPoint","Strong organizational skills, Excellent communication and interpersonal skills, Ability to work collaboratively",None,None,None
250,None,Microsoft Office Suite,Strong communication and presentation skills,None,None,None
251,PhD,"Python, Javascript",None,English,Previous internship in Machine Learning or related field,None
252,None,"Batch, PowerShell, Shell scripting, Windows, macOS, Microsoft Office Suite, Excel, SharePoint",None,English,None,None
253,Bachelor?€?s,"MS programs, Intermediate to Advanced MS Excel","Strong interpersonal skills, Self-motivated, dependable, and accountable",None,"Experience in project management, construction, renewable energy, procurement, cost analysis and reporting",None
254,"Associate, Bachelor?€?s",Business-related software applications,"Strong attention to detail, Effective communication skills",None,None,None
